model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
extra,M1_macro,Consumer Discretionary,486,0.2195618145908993,0.41395415670805774,0.00010676934309672426,0.7366255144032922,0.4094016218157386,0.021978842673813226,-1.1119972784006562,-0.0218720733307165
extra,M2_sector,Consumer Discretionary,486,0.22182935236500417,0.41508561159075874,-0.0053666879909977094,0.7345679012345679,0.41395415670805774,0.00010676934309672426,-0.2733285472233973,-0.005473457334094434
extra,M3_company,Consumer Discretionary,486,0.2079486887115418,0.4033453928875771,0.050700321589187025,0.7325102880658436,0.41508561159075874,-0.0053666879909977094,2.8283848862380148,0.056067009580184735
extra,M4_idio_vol,Consumer Discretionary,486,0.20813824839737446,0.4044051667676344,0.04570527421709525,0.7386831275720165,0.4033453928875771,0.050700321589187025,-0.26274599852753927,-0.0049950473720917765
extra,M5_text,Consumer Discretionary,486,0.20707681535781425,0.40419795029254146,0.046682981443814,0.7345679012345679,0.4044051667676344,0.04570527421709525,0.05123981890468359,0.0009777072267187492
extra,M0_baseline,Consumer Staples,440,0.07890294746536985,0.14430152618056857,-0.04154637968852448,0.6409090909090909,,,,
extra,M1_macro,Consumer Staples,440,0.08784335706784574,0.14682802752527846,-0.07833746448401091,0.6136363636363636,0.14430152618056857,-0.04154637968852448,-1.7508486650019235,-0.03679108479548643
extra,M2_sector,Consumer Staples,440,0.08799794861113129,0.14709874902057526,-0.0823176073108065,0.6227272727272727,0.14682802752527846,-0.07833746448401091,-0.18437998511571416,-0.003980142826795596
extra,M3_company,Consumer Staples,440,0.09231896689281342,0.14968823055065633,-0.12075858516381599,0.615909090909091,0.14709874902057526,-0.0823176073108065,-1.7603695118568725,-0.038440977853009484
extra,M4_idio_vol,Consumer Staples,440,0.08969823288852231,0.14759684966301054,-0.0896598293914912,0.6318181818181818,0.14968823055065633,-0.12075858516381599,1.3971578660207657,0.031098755772324793
extra,M5_text,Consumer Staples,440,0.0899961684044054,0.14845550107605113,-0.1023749992970806,0.6363636363636364,0.14759684966301054,-0.0896598293914912,-0.5817545665785153,-0.012715169905589407
extra,M0_baseline,Energy,437,0.34749576157503964,0.5259976255430546,-0.04078992421748895,0.4988558352402746,,,,
extra,M1_macro,Energy,437,0.3244802926736209,0.5046237243224543,0.0420764705715303,0.5766590389016019,0.5259976255430546,-0.04078992421748895,4.063497662852248,0.08286639478901925
extra,M2_sector,Energy,437,0.31515240192024585,0.4979189086369595,0.0673627658762147,0.6086956521739131,0.5046237243224543,0.0420764705715303,1.3286762715124407,0.025286295304684403
extra,M3_company,Energy,437,0.31498523484469854,0.49727623370002555,0.06976876310614777,0.6041189931350115,0.4979189086369595,0.0673627658762147,0.12907220950761553,0.0024059972299330656
extra,M4_idio_vol,Energy,437,0.3134653297821353,0.4962476008080274,0.07361321304029922,0.6041189931350115,0.49727623370002555,0.06976876310614777,0.20685341914383118,0.0038444499341514504
extra,M5_text,Energy,437,0.31374714495181427,0.49450365660673207,0.08011290432279572,0.597254004576659,0.4962476008080274,0.07361321304029922,0.3514262232110928,0.0064996912824965
extra,M0_baseline,Financials,491,0.14261127403813037,0.2593308385465533,-0.008811396836204022,0.6639511201629328,,,,
extra,M1_macro,Financials,491,0.1484845911764044,0.2650945098669577,-0.054151711874905084,0.659877800407332,0.2593308385465533,-0.008811396836204022,-2.222516748377282,-0.04534031503870106
extra,M2_sector,Financials,491,0.14888762750452852,0.2654678581894412,-0.0571230515264185,0.6578411405295316,0.2650945098669577,-0.054151711874905084,-0.14083593155922064,-0.002971339651513416
extra,M3_company,Financials,491,0.14634595426477845,0.26382411623981644,-0.044072447913265256,0.6619144602851323,0.2654678581894412,-0.0571230515264185,0.6191868050751926,0.013050603613153244
extra,M4_idio_vol,Financials,491,0.14717896592894897,0.26452055283442805,-0.04959195841949238,0.659877800407332,0.26382411623981644,-0.044072447913265256,-0.26397760922604324,-0.005519510506227121
extra,M5_text,Financials,491,0.14692232043767803,0.2640412189177953,-0.04579150371611229,0.6659877800407332,0.26452055283442805,-0.04959195841949238,0.1812085720737061,0.003800454703380085
extra,M0_baseline,Health Care,427,0.15721403144128665,0.3270662866274657,-0.010896987204706665,0.7587822014051522,,,,
extra,M1_macro,Health Care,427,0.16289387691676932,0.32339439408506654,0.011673781705044517,0.7330210772833724,0.3270662866274657,-0.010896987204706665,1.1226753390762914,0.022570768909751182
